feature,mean_abs_shap
us10y_yield,0.1647063
regime_confidence,0.081964135
eurusd_return,0.056215797
spx_return,0.053925537
gbpusd_return,0.032377694
us_cpi_yoy,0.03227576
gold_return,0.027177162
ecb_level,0.023676766
spx_vol_3m,0.018797271
high_yield_spread,0.0153916655
us2y_yield,0.014957636
vix_level,0.011131629
ndx_return,0.008744542
yield_spread,0.0074568777
ecb_yoy,0.0037114124
regime_label_calm,0.00059310073
regime_label_credit_stress,0.00037718625
regime_label_crisis,0.0
regime_label_inflation_stress,0.0
