feature,mean_abs_shap
us_cpi_yoy,0.014968312
spx_vol_3m,0.008349935
us10y_yield,0.006274639
us2y_yield,0.005986454
high_yield_spread,0.005675212
spx_return,0.005656997
gbpusd_return,0.005544013
eurusd_return,0.004657119
vix_level,0.003860597
regime_confidence,0.0027950825
ndx_return,0.0024474794
gold_return,0.0023032455
yield_spread,0.0019237441
ecb_level,0.001407808
regime_label_credit_stress,0.000336826
ecb_yoy,0.00024382751
regime_label_calm,6.702411e-05
regime_label_crisis,2.8503977e-05
regime_label_inflation_stress,0.0
