feature,mean_abs_shap
us_cpi_yoy,0.015055909
vix_level,0.0068690195
gold_return,0.005574374
high_yield_spread,0.005180881
yield_spread,0.003972073
ndx_return,0.0039649815
regime_confidence,0.00362183
spx_vol_3m,0.003291291
gbpusd_return,0.0030245618
us2y_yield,0.0028158126
us10y_yield,0.0027746302
ecb_level,0.002604323
eurusd_return,0.0025630745
spx_return,0.0023284152
regime_label_credit_stress,0.0019211126
regime_label_inflation_stress,0.0015218764
ecb_yoy,0.0006715724
regime_label_crisis,0.00058724836
regime_label_calm,0.00015091318
