feature,mean_abs_shap
us_cpi_yoy,0.00919602
vix_level,0.006751966
us10y_yield,0.0055871587
gold_return,0.005268713
ecb_level,0.0042314334
high_yield_spread,0.0027146891
spx_vol_3m,0.0027015023
yield_spread,0.0024491914
ndx_return,0.0023294627
eurusd_return,0.0018545906
spx_return,0.0018073977
regime_confidence,0.0016141101
us2y_yield,0.0013730442
gbpusd_return,0.0012374274
regime_label_credit_stress,0.0007539448
ecb_yoy,0.0006065825
regime_label_inflation_stress,0.0005411024
regime_label_crisis,0.00023278367
regime_label_calm,0.0002291548
