date,spx,ndx,ftse100,gold,bitcoin,eurusd,gbpusd,dxy,qqq
2000-01-03,1455.22,3790.55,,289.0,,1.0262,1.6369,100.22000122070312,79.92742156982422
2000-01-04,1399.42,3546.2,,282.38,,1.0308,1.6364,100.41000366210938,74.44427490234375
2000-01-05,1402.11,3507.31,,280.85,,1.0314,1.6415,100.37999725341795,72.54623413085938
2000-01-06,1403.45,3340.81,,281.45,,1.0319,1.6464,100.6500015258789,67.56398010253906
2000-01-07,1441.47,3529.6,,281.75,,1.0289,1.6383,100.8000030517578,75.92047882080078
2000-01-08,1441.47,3529.6,,281.75,,1.0289,1.6383,100.8000030517578,75.92047882080078
2000-01-09,1441.47,3529.6,,281.75,,1.0289,1.6383,100.8000030517578,75.92047882080078
2000-01-10,1457.6,3717.41,,281.6,,1.0253,1.6364,100.98999786376952,78.02941131591797
2000-01-11,1438.56,3544.35,,283.3,,1.0332,1.648,100.55999755859376,74.23341369628906
2000-01-12,1432.25,3478.14,,282.55,,1.031,1.6474,100.62000274658205,72.59898376464844
2000-01-13,1449.68,3612.08,,284.2,,1.0252,1.6461,101.0,76.9749526977539
2000-01-14,1465.15,3704.74,,284.2,,1.0125,1.6337,101.72000122070312,78.76754760742188
2000-01-15,1465.15,3704.74,,284.2,,1.0125,1.6337,101.72000122070312,78.76754760742188
2000-01-16,1465.15,3704.74,,284.2,,1.0125,1.6337,101.72000122070312,78.76754760742188
2000-01-17,1465.15,3704.74,,285.5,,1.0115,1.6329,102.0500030517578,78.76754760742188
2000-01-18,1455.14,3757.78,,288.8,,1.0128,1.6364,101.86000061035156,79.18931579589844
2000-01-19,1455.9,3790.89,,289.65,,1.0119,1.6437,101.76000213623048,80.98187255859375
2000-01-20,1445.57,3841.74,,288.45,,1.0172,1.654,101.36000061035156,80.19102478027344
2000-01-21,1441.36,3849.96,,289.1,,1.0089,1.6488,101.76000213623048,81.19278717041016
2000-01-22,1441.36,3849.96,,289.1,,1.0089,1.6488,101.76000213623048,81.19278717041016
