Date,Open,High,Low,Close,Volume
2015-03-04,9709.35,9749.7,9563.25,9652.65,179112.00008956
2015-03-05,9693,9830.7,9693,9814.65,192506.86676292
2015-03-06,9782.1,9830.7,9749.7,9798.45,173092.53341988
2015-03-09,9774,9774,9620.1,9660.6,188157.80009408
2015-03-10,9539.1,9587.7,9344.55,9352.65,298462.40014923
2015-03-11,9393.15,9539.1,9344.55,9498.6,196560.73343161
2015-03-12,9539.1,9636.45,9450,9474.3,249059.33345786
2015-03-13,9498.6,9563.25,9433.8,9506.55,172573.20008629
2015-03-16,9547.2,9555.15,9474.3,9498.6,194514.53343059
2015-03-17,9506.55,9595.8,9433.8,9563.25,172841.86675309
2015-03-18,9539.1,9603.9,9522.75,9587.7,212933.86677313
2015-03-19,9628.2,9717.3,9595.8,9603.9,204431.40010222
2015-03-20,9636.45,9652.65,9563.25,9652.65,406251.20020313
2015-03-23,9660.6,9676.95,9595.8,9644.55,133862.73340026
2015-03-24,9644.55,9766.05,9603.9,9741.6,226105.33344639
2015-03-25,9749.7,9749.7,9547.2,9563.25,162831.00008142
2015-03-26,9498.6,9514.8,9368.85,9433.8,152097.46674272
2015-03-27,9425.7,9466.05,9198.75,9247.35,262362.26679785
2015-03-30,9320.25,9352.65,9060.9,9101.55,321888.00016094
2015-03-31,9109.5,9190.65,8963.7,9044.7,419952.73354331
2015-04-01,9044.7,9077.1,8963.7,9036.6,309010.00015451
2015-04-02,9004.2,9052.8,8939.25,9036.6,210499.73343858
2015-04-07,9077.1,9279.75,9069,9182.4,267904.40013395
2015-04-08,9174.45,9239.1,9142.05,9158.1,193914.86676362
2015-04-09,9206.7,9247.35,9158.1,9198.75,144869.0667391
2015-04-10,9206.7,9255.3,9198.75,9247.35,191116.00009556
2015-04-13,9255.3,9304.05,9206.7,9295.8,191686.66676251
2015-04-14,9312.15,9474.3,9310.2,9393.15,365479.26684941
2015-04-15,9376.95,9441.75,9328.35,9336.6,196010.80009801
2015-04-16,9390.75,9432,9234.15,9300.15,243618.53345514
2015-04-17,9275.4,9374.4,9184.65,9242.4,204122.13343539
2015-04-20,9291.9,9324.9,9094.05,9127.05,225091.86677921
2015-04-21,9151.8,9275.4,9118.8,9201.3,161537.7334141
2015-04-22,9250.65,9267.15,9168.15,9259.05,258331.3334625
2015-04-23,9250.65,9333.15,9242.4,9333.15,241086.73345388
2015-04-24,9316.65,9407.4,9316.65,9349.65,188061.93342736
2015-04-27,9349.65,9399.15,9259.05,9366.15,245895.06678961
2015-04-28,9366.15,9382.5,9259.05,9308.4,243655.26678849
2015-04-29,9316.65,9407.4,9225.9,9225.9,204928.40010246
2015-04-30,9225.9,9448.5,9193.05,9432,506641.46691999
2015-05-01,9465.15,9630,9291.9,9605.25,223299.00011165
2015-05-05,9671.25,9803.1,9564,9564,434975.06688415
2015-05-06,9531,9712.35,9531,9671.25,314088.66682371
2015-05-07,9654.6,9654.6,9399.15,9564,295006.93348084
2015-05-08,9918.45,10429.6,9910.2,10207,634067.13365037
2015-05-11,10182.3,10429.6,9910.2,10273,300540.9334836
2015-05-12,10248.3,10347.3,10083.4,10306,466188.73356643
2015-05-13,10396.8,10586.4,10339.2,10487.5,343256.60017163
2015-05-14,10479.3,10520.4,10330.8,10363.8,266508.26679992
2015-05-15,10396.8,10454.5,10355.5,10413.3,202691.33343468
2015-05-18,10454.5,10491.6,10363.8,10413.3,243226.13345495
2015-05-19,10438,10514.2,10413.3,10471,261441.06679739
2015-05-20,10503.9,10586.4,10446.3,10462.6,233366.13345002
2015-05-21,10471,10557.6,10454.5,10553.4,154874.00007744
2015-05-22,10528.8,10594.6,10512.1,10520.4,187981.93342732
2015-05-26,10569.9,10569.9,10396.8,10429.6,187598.93342713
2015-05-27,10446.3,10578.1,10438,10553.4,269695.40013485
2015-05-28,10512.1,10553.4,10355.5,10405,380496.73352358
2015-05-29,10429.6,10438,10306,10322.5,307837.46682059
2015-06-01,10372,10396.8,10297.8,10306,192775.93342972
2015-06-02,10372,10372,10165.8,10231.8,270218.73346844
2015-06-03,10207,10264.8,10182.3,10231.8,259497.53346308
2015-06-04,10207,10223.5,10141.2,10174,211420.26677238
2015-06-05,10132.9,10132.9,10017.6,10091.7,157980.80007899
2015-06-08,10075.2,10108,9976.2,10099.9,309015.80015451
2015-06-09,10108,10116.4,10025.7,10066.9,208425.86677088
2015-06-10,10050.4,10149.4,10000.9,10108,447717.33355719
2015-06-11,10083.4,10190.7,10083.4,10149.4,225815.80011291
2015-06-12,10141.2,10141.2,10025.7,10033.9,138889.73340278
2015-06-15,9992.85,9992.85,9943.2,9943.2,119817.26672658
2015-06-16,9935.1,10047.6,9827.85,10000.9,251281.20012564
2015-06-17,10033.9,10033.9,9918.45,9967.95,162293.86674781
2015-06-18,9918.45,10058.8,9852.6,10042.2,169976.26675165
2015-06-19,10058.8,10198.9,10058.8,10157.7,442703.53355469
2015-06-22,10306,10429.6,10264.8,10405,365788.73351623
2015-06-23,10438,10462.6,10380.3,10446.3,247623.73345715
2015-06-24,10429.6,10471,10347.3,10396.8,166572.80008329
2015-06-25,10388.5,10495.6,10380.3,10438,171400.93341903
2015-06-26,10413.3,10413.3,10330.8,10388.5,145948.20007297
2015-06-29,10091.7,10372,10083.4,10281.4,208514.66677092
2015-06-30,10240.2,10264.8,10149.4,10207,336554.00016828
2015-07-01,10256.7,10363.8,10248.3,10363.8,259072.93346287
2015-07-02,10339.2,10429.6,10339.2,10405,166920.33341679
2015-07-03,10388.5,10503.9,10372,10454.5,225186.40011259
2015-07-06,10380.3,10487.5,10347.3,10355.5,189494.46676141
2015-07-07,10363.8,10438,10322.5,10322.5,267027.13346685
2015-07-08,10372,10413.3,10322.5,10388.5,320058.0668267
2015-07-09,10314.3,10528.8,10289.5,10487.5,248691.73345768
2015-07-10,10611.1,10627.6,10487.5,10512.1,189010.60009451
2015-07-13,10594.6,10635.9,10520.4,10602.9,261323.333464
2015-07-14,10586.4,10701.7,10561.6,10677.1,155734.20007787
2015-07-15,10685.4,10718.2,10627.6,10701.7,129332.66673133
2015-07-16,10743,10883.2,10726.6,10883.2,171768.60008588
2015-07-17,10907.8,10907.8,10800.7,10883.2,254321.13346049
2015-07-20,10866.9,10990.3,10866.9,10932.7,103004.6000515
2015-07-21,10957.3,11015.1,10842,10875,136504.13340159
2015-07-22,10718.2,10751.2,10602.9,10693.6,200774.93343372
2015-07-23,10751.2,10817.2,10718.2,10726.6,173923.20008696
2015-07-24,10701.7,10800.7,10644.1,10693.6,183391.73342503
2015-07-27,10644.1,10677.1,10512.1,10520.4,157652.06674549
2015-07-28,10537,10611.1,10520.4,10602.9,183368.06675835
2015-07-29,10388.5,10512.1,10330.8,10479.3,287679.13347717
2015-07-30,10479.3,10586.4,10479.3,10545.1,235726.66678453
2015-07-31,10594.6,10751.2,10553.4,10751.2,202736.40010137
2015-08-03,10710,10825.6,10660.6,10701.7,158202.2000791
2015-08-04,10726.6,10817.2,10635.9,10817.2,221563.53344412
2015-08-05,10833.7,10858.5,10685.4,10858.5,239239.53345295
2015-08-06,10809,10842,10726.6,10784.2,155817.73341124
2015-08-07,10743,10751.2,10644.1,10669,228175.53344742
2015-08-10,10726.6,10751.2,10602.9,10718.2,142361.73340451
2015-08-11,10677.1,10726.6,10602.9,10619.4,143450.33340506
2015-08-12,10553.4,10594.6,10429.6,10545.1,203540.80010177
2015-08-13,10660.6,10701.7,10561.6,10586.4,123113.40006156
2015-08-14,10627.6,10635.9,10565.4,10611.1,96259.20004813
2015-08-17,10669,10743,10602.9,10718.2,119875.4667266
2015-08-18,10701.7,10718.2,10635.9,10677.1,97534.933382101
2015-08-19,10669,10693.6,10553.4,10553.4,181796.2000909
2015-08-20,10479.3,10520.4,10347.3,10355.5,145508.20007275
2015-08-21,10264.8,10355.5,10149.4,10149.4,191438.73342905
2015-08-24,9910.2,9981.6,9572.25,9720.6,350538.06684194
2015-08-25,9827.85,9976.2,9811.35,9943.2,281603.26680747
2015-08-26,9852.6,10141.2,9786.6,9984.45,268249.00013412
2015-08-27,10190.7,10207,10058.8,10165.8,185633.86675948
2015-08-28,10149.4,10190.7,10033.9,10190.7,218899.66677612
2015-09-01,10075.2,10149.4,9836.1,9860.85,286039.66680969
2015-09-02,9918.45,10132.9,9910.2,10099.9,291227.60014561
2015-09-03,10182.3,10273,10124.7,10190.7,166678.06675001
2015-09-04,10083.4,10099.5,9852.6,9860.85,203629.13343515
2015-09-07,9935.1,9984.45,9869.1,9959.7,136955.00006848
2015-09-08,10009.2,10182.3,10009.2,10058.8,163265.33341497
2015-09-09,10207,10273,10132.9,10157.7,124306.00006215
2015-09-10,10083.4,10176.6,10056.9,10108,142264.00007113
2015-09-11,10141.2,10182.3,10009.2,10042.2,121797.93339423
2015-09-14,10099.9,10099.9,9869.1,9877.2,146460.6667399
2015-09-15,9901.95,9984.45,9770.1,9910.2,164532.00008227
2015-09-16,9943.2,10009.2,9918.45,9984.45,131777.20006589
2015-09-17,9976.2,9992.85,9852.6,9910.2,130028.86673168
2015-09-18,9910.2,9910.2,9778.2,9836.1,267389.80013369
2015-09-21,9794.85,9926.85,9778.2,9811.35,126725.66673003
2015-09-22,9852.6,9852.6,9641.1,9679.35,212950.93343981
2015-09-23,9679.35,9893.85,9679.35,9836.1,148959.53340781
2015-09-24,9819.6,9918.45,9803.1,9869.1,230411.06678187
2015-09-25,9992.85,10033.9,9926.85,9992.85,156853.40007843
2015-09-28,9951.6,10033.9,9926.85,9984.45,158825.86674608
2015-09-29,9869.1,9910.2,9811.35,9811.35,213644.00010682
2015-09-30,9967.95,9967.95,9827.85,9877.2,269186.26680126
2015-10-01,10009.2,10058.8,9910.2,9984.45,152587.33340963
2015-10-02,10017.6,10091.7,9877.2,10000.9,145585.60007279
2015-10-05,10165.8,10289.5,10083.4,10289.5,238877.46678611
2015-10-06,10306,10339.2,10256.7,10314.3,131805.53339924
2015-10-07,10339.2,10405,10174,10182.3,273071.53346987
2015-10-08,10174,10322.5,10174,10264.8,135254.93340096
2015-10-09,10322.5,10388.5,10281.4,10314.3,101928.40005096
2015-10-12,10297.8,10390.2,10289.5,10347.3,107564.20005378
2015-10-13,10339.2,10388.5,10306,10339.2,123734.46672853
2015-10-14,10314.3,10388.5,10149.4,10149.4,131854.73339926
2015-10-15,10165.8,10231.8,10108,10207,141250.86673729
2015-10-16,10314.3,10471,10306,10421.5,235181.20011759
2015-10-19,10372,10454.5,10372,10396.8,106192.06671976
2015-10-20,10429.6,10471,10369,10396.8,135837.20006792
2015-10-21,10438,10471,10367.8,10396.8,106152.13338641
2015-10-22,10384.2,10459,10351,10425.9,104167.40005208
2015-10-23,10475.8,10600.3,10459,10600.3,150969.00007548
2015-10-26,10550.5,10592.1,10509,10533.7,104520.86671893
2015-10-27,10525.5,10525.5,10417.5,10484.1,146464.2667399
2015-10-28,10434.1,10625.4,10434.1,10575.4,117575.86672545
2015-10-29,10583.8,10633.6,10550.5,10608.6,189052.46676119
2015-10-30,10642,10683.6,10542.3,10600.3,167446.46675039
2015-11-02,10567.2,10700.2,10567.2,10675.2,86902.800043451
2015-11-03,10675.2,10691.8,10608.6,10658.7,107337.86672034
2015-11-04,10650.3,10750,10650.3,10741.8,122302.80006115
2015-11-05,10725.1,10858.2,10658.7,10775.1,186391.66675986
2015-11-06,10775.1,10783.3,10509,10600.3,252160.73345941
2015-11-09,10600.3,10625.4,10517.2,10517.2,136222.93340144
2015-11-10,10533.7,10542.3,10351,10375.9,153670.13341017
2015-11-11,10409.2,10525.5,10384.2,10425.9,105102.06671922
2015-11-12,10425.9,10459,10126.5,10134.7,190115.80009506
2015-11-13,10118.1,10143.1,9935.25,9960.3,201428.60010071
2015-11-16,9877.2,10001.8,9868.8,9976.8,148804.53340774
2015-11-17,10109.8,10276.2,10109.8,10276.2,186746.06676004
2015-11-18,10267.9,10292.7,10184.7,10284.4,144086.80007204
2015-11-19,10334.5,10425.9,10326,10400.8,163820.26674858
2015-11-20,10384.2,10434.1,10292.7,10400.8,182216.00009111
2015-11-23,10317.9,10409.2,10317.9,10342.6,103975.20005199
2015-11-24,10334.5,10367.7,10168,10209.6,125573.13339612
2015-11-25,10251.3,10550.5,10234.6,10434.1,191466.93342907
2015-11-26,10467.4,10592.1,10442.5,10533.7,102282.73338447
2015-11-27,10484.1,10592.1,10484.1,10533.7,87309.400043655
2015-11-30,10542.3,10608.6,10500.7,10575.4,267168.46680025
2015-12-01,10617.1,10708.5,10583.8,10666.9,121871.73339427
2015-12-02,10683.6,10733.4,10608.6,10608.6,169809.0000849
2015-12-03,10558.8,10691.8,10301.1,10301.1,225312.46677932
2015-12-04,10267.9,10342.6,10226.2,10309.5,183932.86675863
2015-12-07,10392.6,10500.7,10226.2,10226.2,230863.4667821
2015-12-08,10242.9,10342.6,10093.3,10093.3,234040.06678369
2015-12-09,10143.1,10157.7,9793.95,9793.95,346169.73350642
2015-12-10,9777.3,10001.8,9661.05,9835.5,211348.06677234
2015-12-11,9835.5,9976.8,9594.45,9594.45,342600.86683797
2015-12-14,9627.75,9735.75,9519.6,9519.6,254186.13346043
2015-12-15,9594.45,9627.75,9461.25,9527.85,365249.53351596
2015-12-16,9552.9,9793.95,9527.85,9752.4,225171.13344592
2015-12-17,9951.9,10079.2,9924.9,10060,357534.20017877
2015-12-18,10010.2,10018.5,9835.5,9835.5,437898.80021895
2015-12-21,9819,9927.15,9768.9,9777.3,176524.40008826
2015-12-22,9819,9918.6,9760.65,9893.85,159852.33341326
2015-12-23,9960.3,10168,9949.5,10076.7,166063.13341636
2015-12-24,10134.7,10168,10093.3,10168,10205.066671769
2015-12-29,10251.3,10276.2,10126.5,10226.2,124207.33339544
2015-12-30,10192.9,10226.2,10118.1,10134.7,105523.80005276
2015-12-31,10176.4,10176.4,10043.4,10043.4,50866.2666921
2016-01-04,9910.35,9951.9,9793.95,9835.5,132246.33339946
2016-01-05,9976.8,9993.45,9793.95,9868.8,95345.266714339
2016-01-06,9852.3,9852.3,9735.75,9843.75,157386.93341203
2016-01-07,9636,9760.65,9561.15,9619.35,178615.93342264
2016-01-08,9694.2,9852.3,9627.75,9694.2,161673.53341417
2016-01-11,9611.1,9702.6,9586.2,9611.1,100353.00005018
2016-01-12,9644.4,9793.95,9594.45,9694.2,152700.80007635
2016-01-13,9860.55,10026.9,9835.5,9901.95,211622.73343914
2016-01-14,9793.95,9793.95,9594.45,9735.75,147347.73340701
2016-01-15,9719.1,9793.95,9478.05,9494.55,214452.80010723
2016-01-18,9494.55,9611.1,9436.5,9444.75,104401.6000522
2016-01-19,9561.15,9669.3,9552.9,9636,99064.000049532
2016-01-20,9461.25,9511.35,9187.05,9253.65,206318.26676983
2016-01-21,9295.2,9552.9,9295.2,9511.35,197716.40009886
2016-01-22,9661.05,9752.4,9611.1,9661.05,168931.86675113
2016-01-25,9744,9760.65,9644.4,9685.95,114261.93339046
2016-01-26,9536.1,9711,9536.1,9702.6,140621.40007031
2016-01-27,9711,9735.75,9336.75,9494.55,382364.53352452
2016-01-28,9461.25,9594.45,9428.1,9469.8,141086.53340388
2016-01-29,9569.55,9768.9,9411.6,9768.9,208765.86677105
2016-02-01,9819,9910.35,9403.2,9636,261645.80013082
2016-02-02,9644.4,9644.4,9386.55,9436.5,129907.40006495
2016-02-03,9419.85,9469.8,9195.45,9245.25,146612.46673997
2016-02-04,9386.55,9386.55,9162.15,9245.25,234384.46678386
2016-02-05,9245.25,9353.25,9128.85,9128.85,218902.93344278
2016-02-08,9137.1,9178.8,8754.75,8779.8,252152.86679274
2016-02-09,8829.6,8879.55,8646.6,8837.85,200029.33343335
2016-02-10,8829.6,9020.85,8771.25,8987.55,197526.06676543
2016-02-11,8920.95,8920.95,8679.9,8804.55,162697.40008135
2016-02-12,8829.6,8929.35,8771.25,8929.35,192985.26676316
2016-02-15,9062.4,9120.45,9045.75,9078.9,161458.6667474
2016-02-16,9112.2,9187.05,9037.35,9137.1,134876.20006744
2016-02-17,9120.45,9378.15,9120.45,9336.75,133520.86673343
2016-02-18,9361.5,9378.15,9211.95,9311.7,188073.73342737
2016-02-19,9295.2,9345,9178.8,9237,153315.80007666
2016-02-22,9319.95,9378.15,9220.35,9237,122572.13339462
2016-02-23,9137.1,9245.25,9078.9,9078.9,181194.2000906
2016-02-24,9095.7,9112.2,8896.05,8912.7,235958.20011798
2016-02-25,9153.75,9328.35,8256,8455.35,700536.80035027
2016-02-26,8505.45,8788.05,8438.85,8563.5,423253.33354496
2016-02-29,8488.8,8496.9,8289,8330.7,493941.00024697
2016-03-01,8355.6,8463.6,8322.3,8364,416282.53354147
2016-03-02,8438.85,8513.55,8388.9,8488.8,346705.00017335
2016-03-03,8488.8,8580.15,8397.3,8422.2,250738.60012537
2016-03-04,8455.35,8521.95,8413.95,8505.45,216805.46677507
2016-03-07,8472.15,8555.1,8463.6,8472.15,168004.86675067
2016-03-08,8438.85,8571.75,8380.5,8555.1,214656.46677399
2016-03-09,8588.4,8754.75,8571.75,8688.15,329891.40016495
2016-03-10,8688.15,8771.25,8555.1,8555.1,247723.00012386
2016-03-11,8646.6,8671.65,8563.5,8621.7,174230.40008712
2016-03-14,8621.7,8688.15,8542.35,8679.9,144580.20007229
2016-03-15,8646.6,8742.3,8629.95,8704.8,114864.0667241
2016-03-16,8729.7,8738.1,8655,8721.45,235107.40011755
2016-03-17,8746.35,8788.05,8605.05,8721.45,153441.00007672
2016-03-18,8704.8,8779.8,8671.65,8688.15,220551.66677694
2016-03-21,8655,8738.1,8596.65,8704.8,164820.73341574
2016-03-22,8521.95,8596.65,8388.9,8505.45,288962.00014448
2016-03-23,8496.9,8546.85,8422.2,8546.85,248930.66679113
2016-03-24,8538.45,8613.3,8472.15,8596.65,280966.13347382
2016-03-29,8580.15,8655,8563.5,8655,198153.93343241
2016-03-30,8763,8812.95,8679.9,8713.2,167515.00008376
2016-03-31,8721.45,8723.1,8613.3,8663.25,155921.73341129
2016-04-01,8621.7,8738.1,8546.85,8729.7,169690.26675151
2016-04-04,8696.4,8804.55,8679.9,8738.1,112961.60005648
2016-04-05,8696.4,8696.4,8586.15,8629.95,133315.46673332
2016-04-06,8646.6,8646.6,8538.45,8571.75,219381.86677636
2016-04-07,8580.15,8599.8,8488.8,8513.55,163607.06674847
2016-04-08,8513.55,8663.25,8498.85,8621.7,146398.46673987
2016-04-11,8588.4,8646.6,8538.45,8596.65,114921.60005746
2016-04-12,8596.65,8746.35,8513.55,8746.35,249238.60012462
2016-04-13,8804.55,8937.6,8779.8,8937.6,252386.66679286
2016-04-14,8962.5,8992.8,8812.95,8862.9,174345.73342051
2016-04-15,8871.15,8871.15,8663.25,8688.15,245390.6001227
2016-04-18,8638.35,8679.9,8621.7,8655,149693.46674151
2016-04-19,8655,8713.2,8605.05,8679.9,207826.66677058
2016-04-20,8646.6,8754.75,8613.3,8721.45,164522.26674893
2016-04-21,8748.6,8775.9,8570.4,8638.35,224551.33344561
2016-04-22,8621.4,8655.3,8587.35,8604.3,161810.93341424
2016-04-25,8629.8,8638.35,8527.95,8570.4,163406.8000817
2016-04-26,8578.8,8578.8,8494.05,8519.55,119897.53339328
2016-04-27,8485.5,8511,8421.9,8485.5,198733.46676603
2016-04-28,8443.05,8570.4,8438.85,8570.4,185334.80009267
2016-04-29,8519.55,8533.95,8434.65,8494.05,160702.26674702
2016-05-03,8519.55,8519.55,8383.8,8421.9,215474.13344107
2016-05-04,8421.9,8464.35,8375.25,8400.75,185225.53342595
2016-05-05,8430.45,8485.5,8396.55,8472.75,147823.00007391
2016-05-06,8460,8488.35,8332.8,8485.5,232880.73344977
2016-05-09,8536.5,8689.2,8519.55,8689.2,199379.06676636
2016-05-10,9121.95,9232.35,8960.7,9147.45,631451.93364906
2016-05-11,9164.4,9342.45,9113.55,9300.15,250741.86679204
2016-05-12,9274.8,9291.6,9071.1,9087.9,214296.73344048
2016-05-13,9071.1,9155.85,8969.25,9139.05,157420.46674538
2016-05-16,9113.55,9181.5,9045.6,9181.5,95598.466714466
2016-05-17,9198.3,9232.35,9079.5,9130.5,112604.53338964
2016-05-18,9087.9,9139.05,9011.7,9079.5,141668.40007083
2016-05-19,9003.15,9094.5,8943.75,9011.7,194090.80009705
2016-05-20,9071.1,9139.05,8977.8,9139.05,204463.20010223
2016-05-23,9096.6,9172.8,9079.5,9113.55,253987.33346033
2016-05-24,9062.55,9317.1,9028.65,9308.7,163826.73341525
2016-05-25,9334.05,9342.45,9223.8,9283.2,201051.46676719
2016-05-26,9257.7,9342.45,9232.35,9317.1,97483.666715409
2016-05-27,9164.4,9189.9,9071.1,9121.95,160745.46674704
2016-05-31,9096.6,9198.3,9028.65,9028.65,316601.0001583
2016-06-01,9037.05,9046.2,8875.95,8935.35,159270.73341297
2016-06-02,8935.35,9003.15,8901.3,8986.2,177810.20008891
2016-06-03,9037.05,9037.05,8867.4,8926.8,110381.26672186
2016-06-06,8935.35,9037.05,8909.7,8994.75,89497.866711416
2016-06-07,9003.15,9113.55,8994.75,9045.6,111513.73338909
2016-06-08,9003.15,9020.1,8935.35,9020.1,106997.13338683
2016-06-09,8977.8,9020.1,8926.8,8943.75,109524.80005476
2016-06-10,8943.75,8943.75,8714.55,8714.55,120848.33339376
2016-06-13,8655.3,8655.3,8511,8527.95,209557.66677145
2016-06-14,8472.75,8502.6,8379.45,8379.45,244606.0001223
2016-06-15,8430.45,8485.5,8396.55,8461.05,71185.600035593
2016-06-16,8341.35,8392.2,8222.55,8281.95,169102.93341788
2016-06-17,8345.55,8502.6,8332.8,8485.5,291322.40014566
2016-06-20,8680.8,8875.95,8672.25,8875.95,256379.73346152
2016-06-21,8841.9,9087.9,8757.15,9054.15,258848.60012942
2016-06-22,9113.55,9164.4,9045.6,9096.6,165417.46674938
2016-06-23,9172.8,9308.7,9096.6,9249.3,130132.86673173
2016-06-24,7908.6,8527.95,7908.6,8396.55,491188.40024559
2016-06-27,7687.95,7997.55,7119.3,7200,569726.7336182
2016-06-28,7518.3,7751.55,7352.85,7675.2,683347.60034167
2016-06-29,7743,7976.4,7743,7976.4,323554.13349511
2016-06-30,7955.25,8163.15,7819.5,8163.15,336848.53350176
2016-07-01,8180.1,8201.25,8027.4,8061.3,264811.93346574
2016-07-04,8099.4,8099.4,7921.2,7921.2,147399.86674037
2016-07-05,7934.1,7972.2,7764.45,7781.25,317414.60015871
2016-07-06,7759.95,7759.95,7603.05,7645.65,314211.53349044
2016-07-07,7636.95,7751.55,7560.75,7704.9,189172.06676125
2016-07-08,7806.75,7917,7759.95,7844.85,179237.93342295
2016-07-11,7934.1,8137.8,7819.5,8129.1,189766.46676155
2016-07-12,8112.15,8260.65,8112.15,8171.55,214062.2667737
2016-07-13,8180.1,8337,8137.8,8142,191716.33342919
2016-07-14,8214,8260.65,8120.7,8235.15,194144.06676374
2016-07-15,8248.05,8320.05,8137.8,8269.2,229010.66678117
2016-07-18,8273.55,8375.25,8265,8281.95,133410.93340004
2016-07-19,8273.55,8337,8205.6,8265,103074.6667182
2016-07-20,8303.1,8353.95,8243.7,8332.8,155662.80007783
2016-07-21,8303.1,8371.05,8256.45,8341.35,126877.26673011
2016-07-22,8311.65,8358.3,8290.5,8311.65,104290.26671881
2016-07-25,8320.05,8413.5,8294.7,8400.75,151906.20007595
2016-07-26,8426.1,8443.05,8353.95,8392.2,151644.26674249
2016-07-27,8315.85,8468.55,8116.35,8273.55,299657.60014983
2016-07-28,8307.45,8311.65,7934.1,7934.1,338837.20016942
2016-07-29,8006.1,8150.4,7946.7,8146.2,316331.3334915
2016-08-01,8167.35,8167.35,7989.15,8035.95,174719.13342069
2016-08-02,7997.55,8057.1,7951.05,8001.9,222407.2001112
2016-08-03,8010.3,8019,7912.8,7976.4,210435.33343855
2016-08-04,7976.4,8188.65,7972.2,8103.75,235967.73345132
2016-08-05,8091,8184.3,8082.45,8107.95,147012.40007351
2016-08-08,8150.4,8294.7,8124.9,8273.55,222655.26677799
2016-08-09,8303.1,8332.8,8241,8320.05,116716.86672503
2016-08-10,8303.1,8409.15,8269.2,8409.15,126830.53339675
2016-08-11,8455.8,8468.55,8312.7,8468.55,118456.80005923
2016-08-12,8443.05,8587.35,8443.05,8511,123560.00006178
2016-08-15,8536.5,8672.25,8483.1,8604.3,164094.46674871
2016-08-16,8544.9,8629.8,8519.55,8570.4,162667.53341467
