feature,importance
ecb_level,0.14217
ecb_yoy,0.13046724
spx_return,0.10625515
regime_confidence,0.08346184
eurusd_return,0.07724269
regime_label_credit_stress,0.066296585
us10y_yield,0.059059788
yield_spread,0.049310427
gbpusd_return,0.04664782
spx_vol_3m,0.046181824
high_yield_spread,0.03520681
vix_level,0.033034883
regime_label_calm,0.030116877
gold_return,0.029089957
us_cpi_yoy,0.028413134
us2y_yield,0.021706795
ndx_return,0.015338204
regime_label_crisis,0.0
regime_label_inflation_stress,0.0
