feature,importance
spx_return,0.07463316
us_cpi_yoy,0.07347001
ecb_level,0.06622338
gbpusd_return,0.06599941
high_yield_spread,0.065465555
ndx_return,0.0643854
yield_spread,0.063373104
spx_vol_3m,0.063351065
gold_return,0.062282614
vix_level,0.060808394
regime_label_credit_stress,0.05855663
us10y_yield,0.05610654
regime_confidence,0.05475113
eurusd_return,0.052608676
ecb_yoy,0.0430642
us2y_yield,0.041106332
regime_label_calm,0.019651491
regime_label_crisis,0.014162949
regime_label_inflation_stress,0.0
