feature,importance
regime_label_credit_stress,0.17964688
regime_label_crisis,0.1616888
us_cpi_yoy,0.0666989
gold_return,0.065591805
vix_level,0.05274409
eurusd_return,0.049228147
regime_confidence,0.04861015
gbpusd_return,0.045254268
high_yield_spread,0.044676602
ndx_return,0.04229301
us10y_yield,0.040167645
spx_vol_3m,0.03307835
regime_label_inflation_stress,0.032958288
spx_return,0.032905955
us2y_yield,0.026761828
ecb_yoy,0.024963472
ecb_level,0.024784379
yield_spread,0.02030361
regime_label_calm,0.007643734
