alpha,l1_ratio,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
0.1,0.95,0.5925925925925926,0.3376120047703469,-1.265317070901771,0.5757119923540752
0.1,0.8,0.5833333333333333,0.3396330740858262,-1.3493892778234065,0.566351679629042
0.1,0.5,0.537037037037037,0.36042153478180633,-1.8635707163610138,0.5190159602979466
0.03,0.95,0.49074074074074076,0.3978216282513963,-3.0233164288051135,0.4708496593281709
0.1,0.2,0.49074074074074076,0.40623476244281104,-3.098761935491342,0.4704290026186002
0.03,0.8,0.4722222222222222,0.4032769440822836,-3.2325673599482316,0.452058375018108
0.01,0.95,0.45370370370370366,0.5068754107423263,-7.620258177457807,0.4283599331665873
0.03,0.5,0.4444444444444444,0.4423267680896876,-4.4087591709746,0.42232810603996
0.1,0.05,0.4444444444444444,0.47134556230701474,-5.265609657028735,0.42087716632909367
0.03,0.2,0.4444444444444444,0.5282375984085941,-7.6841324991318185,0.4180325645240147
3e-05,0.5,0.4351851851851852,0.8439001113900335,-20.31267180205855,0.3929901796156835
0.01,0.8,0.42592592592592593,0.5243021166923776,-8.400753873099953,0.39971082009130704
0.003,0.95,0.4166666666666667,0.6394864411007263,-13.200305166852722,0.3846923446116304
0.003,0.8,0.4166666666666667,0.6496740769812719,-13.656754660807685,0.3841829628176031
3e-05,0.2,0.41666666666666663,0.8398243330104429,-20.36948582720599,0.3746754500161445
1e-05,0.95,0.41666666666666663,0.8375853228459613,-20.463959050089656,0.37478740052436854
0.03,0.05,0.40740740740740744,0.564612668999246,-9.49769272232826,0.37917677395744515
0.01,0.2,0.40740740740740744,0.6278930540230782,-12.128634750323176,0.3760127547062535
0.01,0.5,0.4074074074074074,0.5739464164008352,-9.989919238653995,0.3787100865873656
0.001,0.95,0.4074074074074074,0.719884224881332,-16.381912382332423,0.3714131961633408
0.0003,0.95,0.4074074074074074,0.7983237606504422,-19.080390880220303,0.36749121937488527
0.0001,0.05,0.4074074074074074,0.8295309713416598,-20.229593921775006,0.3659308588403244
1e-05,0.5,0.4074074074074074,0.8433642766394954,-20.330596714728355,0.3652391935754326
0.0001,0.2,0.4074074074074074,0.8604524556970526,-20.342337724891465,0.36438478462255475
3e-05,0.05,0.4074074074074074,0.8405974529378616,-20.349194166310603,0.3653775347605143
1e-05,0.2,0.4074074074074074,0.8447452452158253,-20.428170559682684,0.3651701451466161
1e-05,0.8,0.4074074074074074,0.8430371675746317,-20.465741453596596,0.3652555490286758
1e-05,0.05,0.4074074074074074,0.8453511230755707,-20.47216579893307,0.36513985125362886
3e-05,0.8,0.4074074074074074,0.8852989760318297,-20.507582973728272,0.3631424586058159
3e-05,0.95,0.4074074074074074,0.9057614741426013,-20.61370455757053,0.3621193337002773
0.0001,0.8,0.4074074074074074,0.8967619967055863,-20.63903277146852,0.3625693075721281
0.003,0.5,0.39814814814814814,0.6971298627129676,-14.77534452625027,0.36329165501249977
0.001,0.8,0.39814814814814814,0.7289046903184229,-16.74106889498821,0.361702913632227
0.001,0.05,0.39814814814814814,0.7856787774059261,-18.667197956298466,0.35886420927785184
0.0003,0.5,0.39814814814814814,0.8555652422887251,-19.820696443816686,0.3553698860337119
0.0003,0.05,0.39814814814814814,0.8262963362192002,-19.84607160479959,0.35683333133718814
0.0001,0.95,0.39814814814814814,0.8978614139954113,-20.570140326962512,0.3532550774483776
0.0001,0.5,0.39814814814814814,0.8886731977811034,-20.574797546673825,0.35371448825909296
0.01,0.05,0.3888888888888889,0.6475841719154203,-13.26907142697575,0.35650968029311786
0.001,0.2,0.3888888888888889,0.7910148714179509,-18.288170368690654,0.34933814531799134
0.0003,0.8,0.3888888888888889,0.81374224544733,-19.307140241699287,0.3482017766165224
0.003,0.05,0.37962962962962965,0.7282853868683523,-16.6213117301012,0.343215360286212
0.001,0.5,0.37962962962962965,0.775707636250479,-17.670876605496588,0.3408442478171057
0.003,0.2,0.3796296296296296,0.7195312138672557,-15.668454761287547,0.3436530689362668
0.0003,0.2,0.3796296296296296,0.8432618518987582,-19.834314196123948,0.33746653703469165
