n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,3,0.01,0.7,0.6,2.0,10.0,0.5925925925925926,0.3210695720257862,-0.8417431131764446,0.5765391139913032
50,2,0.01,0.6,0.7,2.0,10.0,0.5925925925925926,0.32053073426753426,-0.8420708866878353,0.5765660558792158
50,2,0.01,0.6,0.7,1.0,10.0,0.5925925925925926,0.3206028791534408,-0.8422123350231564,0.5765624486349206
50,2,0.01,0.6,0.7,0.5,10.0,0.5925925925925926,0.32067164691327793,-0.8430675305473462,0.5765590102469287
50,3,0.01,0.6,0.7,2.0,10.0,0.5925925925925926,0.32084720492671354,-0.8461396938545287,0.5765502323462569
50,3,0.01,0.6,0.7,0.5,10.0,0.5925925925925926,0.32139607264344056,-0.8464097349041177,0.5765227889604205
50,3,0.01,0.6,0.7,1.0,10.0,0.5925925925925926,0.3211055318985196,-0.8472254528602402,0.5765373159976666
50,3,0.01,0.7,0.6,1.0,10.0,0.5925925925925926,0.32152673481162164,-0.8475593604982085,0.5765162558520115
50,2,0.01,0.7,0.6,2.0,10.0,0.5925925925925926,0.3212114792587176,-0.8479906938672473,0.5765320186296566
50,2,0.01,0.6,0.7,2.0,5.0,0.5925925925925926,0.3207907679630113,-0.8480567570288128,0.576553054194442
50,3,0.01,0.6,0.6,1.0,10.0,0.5925925925925926,0.32129107060928747,-0.8492375393484063,0.5765280390621282
50,2,0.01,0.7,0.7,2.0,10.0,0.5925925925925926,0.3212287069041223,-0.8500683500785826,0.5765311572473865
50,3,0.01,0.7,0.7,2.0,10.0,0.5925925925925926,0.32142253422429445,-0.8511981099242146,0.5765214658813779
50,3,0.01,0.6,0.6,0.5,10.0,0.5925925925925926,0.3216665583628365,-0.852001490856595,0.5765092646744507
50,3,0.01,0.6,0.6,2.0,10.0,0.5925925925925926,0.32131781872299475,-0.8540903527206034,0.5765267016564428
50,2,0.01,0.6,0.6,2.0,10.0,0.5925925925925926,0.3211513340671176,-0.8542231378636687,0.5765350258892367
50,2,0.01,0.6,0.6,0.5,10.0,0.5925925925925926,0.3212269877717644,-0.8547443018905924,0.5765312432040044
50,3,0.01,0.6,0.7,2.0,5.0,0.5925925925925926,0.3213409706871402,-0.855169936023139,0.5765255440582355
50,2,0.01,0.6,0.6,1.0,10.0,0.5925925925925926,0.32140424274838353,-0.8572545049964371,0.5765223804551733
50,3,0.01,0.7,0.6,0.5,10.0,0.5925925925925926,0.3218974447305014,-0.8572910961009036,0.5764977203560675
50,2,0.01,0.7,0.6,1.0,10.0,0.5925925925925926,0.3216138856354214,-0.8581256018387983,0.5765118983108215
50,2,0.03,0.6,0.7,2.0,10.0,0.5925925925925926,0.3213401871305501,-0.8596315562613799,0.5765255832360651
50,2,0.01,0.6,0.7,1.0,5.0,0.5925925925925926,0.3214064114110111,-0.8603414681400204,0.576522272022042
50,3,0.01,0.6,0.6,2.0,5.0,0.5925925925925926,0.32169537473445237,-0.8607528188149333,0.57650782385587
50,2,0.01,0.7,0.7,2.0,5.0,0.5925925925925926,0.3215963770374124,-0.8609251862384903,0.576512773740722
50,2,0.01,0.7,0.6,0.5,10.0,0.5925925925925926,0.32172744091201444,-0.8616232632953601,0.5765062205469919
50,3,0.01,0.6,0.6,1.0,5.0,0.5925925925925926,0.32198052104367064,-0.8618806030690956,0.5764935665404091
50,2,0.01,0.6,0.6,2.0,5.0,0.5925925925925926,0.3215728846687437,-0.8619868260427728,0.5765139483591554
50,3,0.01,0.7,0.6,2.0,5.0,0.5925925925925926,0.32206642052461554,-0.8625060266499524,0.5764892715663618
50,2,0.01,0.7,0.7,0.5,10.0,0.5925925925925926,0.32158771298617306,-0.8628179826678734,0.5765132069432839
50,3,0.01,0.7,0.7,2.0,5.0,0.5925925925925926,0.32204486203415944,-0.8632332918410508,0.5764903494908846
50,3,0.01,0.7,0.7,1.0,10.0,0.5925925925925926,0.32208707322886987,-0.8634392779095301,0.5764882389311491
50,2,0.01,0.7,0.7,1.0,10.0,0.5925925925925926,0.3217718060033825,-0.864950247754783,0.5765040022924235
50,3,0.01,0.6,0.6,0.5,5.0,0.5925925925925926,0.32233324655878537,-0.8649534249878312,0.5764759302646533
50,3,0.01,0.7,0.7,0.5,10.0,0.5925925925925926,0.321926950062923,-0.8655194870357489,0.5764962450894464
50,3,0.01,0.6,0.7,1.0,5.0,0.5925925925925926,0.32217406385423425,-0.86632179440602,0.5764838893998808
50,2,0.01,0.6,0.7,2.0,2.0,0.5925925925925926,0.3216074546803042,-0.8671587392372984,0.5765122198585774
50,2,0.01,0.7,0.6,2.0,5.0,0.5925925925925926,0.32201757120456836,-0.8679899066101825,0.5764917140323641
50,3,0.03,0.6,0.7,2.0,10.0,0.5925925925925926,0.3220593524954387,-0.8685027155729457,0.5764896249678206
50,3,0.01,0.6,0.7,2.0,2.0,0.5925925925925926,0.3220840505681097,-0.8712409340920391,0.5764883900641871
50,2,0.01,0.6,0.6,1.0,5.0,0.5925925925925926,0.32204720401068526,-0.8720521094293184,0.5764902323920583
50,2,0.01,0.6,0.7,1.0,2.0,0.5925925925925926,0.32189601757929887,-0.8727861569627783,0.5764977917136276
50,3,0.01,0.7,0.6,1.0,5.0,0.5925925925925926,0.3227219020059651,-0.8750416609338286,0.5764564974922943
50,3,0.01,0.6,0.6,2.0,2.0,0.5925925925925926,0.32244480280203963,-0.8760415381059465,0.5764703524524906
