alpha,l1_ratio,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
0.01,0.5,0.5277777777777779,0.04485275933179541,-0.17353929540588642,0.5255351398111882
0.1,0.05,0.5092592592592592,0.044784637009646945,-0.16898839199243998,0.5070200274087768
0.03,0.5,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.03,0.8,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.03,0.95,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.1,0.2,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.1,0.5,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.1,0.8,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.1,0.95,0.4907407407407407,0.04456317573773922,-0.1540962576945709,0.4885125819538537
0.01,0.95,0.4907407407407407,0.04464990228695679,-0.15809596359287234,0.48850824562639283
0.01,0.8,0.4907407407407407,0.0447344819114741,-0.16206912978788574,0.488504016645167
0.03,0.2,0.4907407407407407,0.044752724706044904,-0.1641942262932533,0.48850310450543843
0.0003,0.05,0.48148148148148157,0.05879534414825765,-1.3878567436240117,0.47854171427406866
3e-05,0.95,0.4722222222222222,0.058762907995767825,-1.3806042418324183,0.46928407682243384
3e-05,0.8,0.4722222222222222,0.058826482141828805,-1.3895378166175443,0.4692808981151308
0.0001,0.2,0.4722222222222222,0.05884138612987492,-1.3924040898078698,0.46928015291572844
3e-05,0.5,0.4722222222222222,0.05895108629808933,-1.407297966410687,0.46927466790731776
1e-05,0.95,0.4722222222222222,0.059031723655556055,-1.418470775052481,0.4692706360394444
0.0001,0.05,0.4722222222222222,0.059039759591375224,-1.4204860507861174,0.46927023424265346
1e-05,0.8,0.4722222222222222,0.0590514002921574,-1.421161849047394,0.46926965220761435
3e-05,0.2,0.4722222222222222,0.059069406734214694,-1.4240229902461914,0.4692687518855115
1e-05,0.5,0.4722222222222222,0.0590940431070515,-1.427189786709752,0.4692675200668696
3e-05,0.05,0.4722222222222222,0.0591296124490409,-1.4316905787721683,0.4692657415997702
1e-05,0.2,0.4722222222222222,0.05913438067867796,-1.4322988397830136,0.4692655031882883
1e-05,0.05,0.4722222222222222,0.05917348681323417,-1.4368480299057877,0.4692635478815605
0.0003,0.2,0.462962962962963,0.058192951341036886,-1.3035574361490907,0.46005331539591116
0.0001,0.5,0.462962962962963,0.058423097901239646,-1.3339646309855306,0.460041808067901
0.001,0.05,0.45370370370370366,0.05799233385539729,-1.2818177055584188,0.4508040870109338
0.003,0.8,0.4444444444444444,0.04609411714161255,-0.2576163382346324,0.4421397385873638
0.03,0.05,0.4444444444444444,0.04746956772836722,-0.3379405711137575,0.44207096605802604
0.0001,0.8,0.4444444444444444,0.05804740082302454,-1.2811633115228516,0.4415420744032932
0.0001,0.95,0.43518518518518523,0.05786136994190499,-1.2556342500388156,0.43229211668809
0.003,0.95,0.4351851851851852,0.04568898902799099,-0.2296916509297617,0.4329007357337856
0.01,0.2,0.4351851851851852,0.046613893398184135,-0.2886702488194934,0.43285449051527597
0.003,0.5,0.42592592592592593,0.04795909849355698,-0.36443202048019424,0.42352797100124806
0.0003,0.95,0.42592592592592593,0.05510369671480056,-0.9398334958233003,0.4231707410901859
0.0003,0.8,0.42592592592592593,0.05570700371341226,-1.0063454043985869,0.4231405757402553
0.001,0.2,0.42592592592592593,0.0560519831406165,-1.0450223621761054,0.4231233267688951
0.003,0.05,0.42592592592592593,0.056042307860699955,-1.046236611110708,0.42312381053289094
0.01,0.05,0.41666666666666674,0.051971676758180846,-0.6534079415532532,0.4140680828287577
0.001,0.5,0.41666666666666674,0.05260466000912838,-0.6954239715368469,0.41403643366621035
0.003,0.2,0.4166666666666667,0.05188649296097144,-0.63233973469018,0.4140723420186181
0.0003,0.5,0.41666666666666663,0.057006294367178315,-1.1515357143825793,0.41381635194830774
0.001,0.95,0.40740740740740744,0.049997641117256374,-0.4790289541440813,0.4049075253515446
0.001,0.8,0.40740740740740744,0.05079142909684984,-0.5369955099052838,0.4048678359525649
