n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,3,0.03,0.7,0.7,1.0,2.0,0.6388888888888888,0.03906035975975364,-0.08605844682696817,0.6369358709009012
50,3,0.03,0.7,0.7,1.0,5.0,0.6388888888888888,0.03906567671650435,-0.08639208543092411,0.6369356050530636
50,3,0.03,0.7,0.7,1.0,10.0,0.6388888888888888,0.039069041205776825,-0.08671502924525461,0.6369354368286
50,3,0.03,0.7,0.6,1.0,2.0,0.6388888888888888,0.039075196259790765,-0.08730244648234776,0.6369351290758993
50,3,0.03,0.7,0.6,1.0,5.0,0.6388888888888888,0.03907987499035225,-0.08758085507505875,0.6369348951393712
100,3,0.03,0.7,0.7,1.0,2.0,0.6388888888888888,0.03910240077546759,-0.08767822341624731,0.6369337688501154
50,3,0.03,0.7,0.6,1.0,10.0,0.6388888888888888,0.0390816568847711,-0.08777975103636525,0.6369348060446502
100,3,0.03,0.7,0.7,1.0,5.0,0.6388888888888888,0.03910487940523177,-0.08787369482114345,0.6369336449186273
50,2,0.03,0.7,0.7,0.5,5.0,0.6388888888888888,0.03917672019501033,-0.08789125585381313,0.6369300528791383
50,2,0.03,0.7,0.7,1.0,2.0,0.6388888888888888,0.03908853651482527,-0.08805009199477938,0.6369344620631475
50,2,0.01,0.7,0.7,0.5,2.0,0.6388888888888888,0.03910832134429274,-0.088073652336011,0.6369334728216742
100,2,0.03,0.7,0.7,1.0,2.0,0.6388888888888888,0.03910113059257213,-0.08808143113866221,0.6369338323592603
50,2,0.03,0.7,0.7,0.5,10.0,0.6388888888888888,0.039162472483352424,-0.08814232215576946,0.6369307652647213
50,2,0.03,0.7,0.7,1.0,5.0,0.6388888888888888,0.03908997201022007,-0.0881920061811787,0.6369343902883778
50,2,0.01,0.7,0.7,0.5,10.0,0.6388888888888888,0.03910694263715786,-0.08823864575140344,0.636933541757031
100,3,0.03,0.7,0.7,1.0,10.0,0.6388888888888888,0.03911031537122139,-0.08826433600031007,0.6369333731203277
100,3,0.03,0.7,0.6,1.0,2.0,0.6388888888888888,0.03910930916550878,-0.08830046003159742,0.6369334234306134
100,3,0.03,0.7,0.6,1.0,5.0,0.6388888888888888,0.03910990537570828,-0.08837209982765204,0.6369333936201034
100,2,0.03,0.7,0.6,1.0,2.0,0.6388888888888888,0.03910337687496633,-0.08837983755523864,0.6369337200451405
50,2,0.03,0.7,0.7,1.0,10.0,0.6388888888888888,0.03909197615434527,-0.08839736237233484,0.6369342900811715
100,2,0.01,0.7,0.6,0.5,10.0,0.6388888888888888,0.039131391326049786,-0.08844242277471731,0.6369323193225863
100,2,0.03,0.7,0.7,1.0,5.0,0.6388888888888888,0.03910624368937972,-0.08844274300684613,0.6369335767044199
100,2,0.01,0.7,0.7,0.5,10.0,0.6388888888888888,0.039135884763603065,-0.08846518223982723,0.6369320946507087
