n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
100,3,0.03,0.7,0.6,0.5,10.0,0.6851851851851851,0.032273939438258084,-0.14170096111486827,0.6835714882132722
100,3,0.03,0.7,0.6,0.5,5.0,0.6851851851851851,0.032284123685653116,-0.14172435184185928,0.6835709790009025
100,3,0.03,0.7,0.6,0.5,2.0,0.6851851851851851,0.03235568428994309,-0.1459871606356437,0.6835674009706879
100,3,0.03,0.7,0.7,0.5,10.0,0.6851851851851851,0.03232312163682646,-0.15064665334541674,0.6835690291033438
100,3,0.03,0.7,0.7,0.5,5.0,0.6851851851851851,0.032362522311449454,-0.15353551008578925,0.6835670590696127
100,2,0.03,0.7,0.7,0.5,2.0,0.675925925925926,0.032175281488528634,-0.13037546490637072,0.6743171618514996
100,2,0.01,0.7,0.7,0.5,10.0,0.6759259259259259,0.03201534086639645,-0.1180250222463794,0.6743251588826061
100,2,0.01,0.7,0.7,0.5,5.0,0.6759259259259259,0.03202605255439899,-0.11896174883858651,0.674324623298206
100,2,0.01,0.7,0.6,0.5,5.0,0.6759259259259259,0.032034972325426916,-0.11898863385258861,0.6743241773096545
100,2,0.01,0.7,0.6,0.5,2.0,0.6759259259259259,0.0320368148360538,-0.11919262132060027,0.6743240851841232
100,2,0.01,0.7,0.7,0.5,2.0,0.6759259259259259,0.03202529832616305,-0.1191976898683741,0.6743246610096177
100,2,0.01,0.7,0.6,0.5,10.0,0.6759259259259259,0.03202950890017223,-0.1192111661067566,0.6743244504809173
50,2,0.03,0.7,0.6,0.5,10.0,0.6759259259259259,0.032071663426300044,-0.12214155536854876,0.6743223427546109
50,2,0.03,0.7,0.7,0.5,10.0,0.6759259259259259,0.03207005661484323,-0.12242080057425928,0.6743224230951838
50,2,0.01,0.7,0.7,0.5,10.0,0.6759259259259259,0.03204041323542413,-0.12242978743543047,0.6743239052641548
50,2,0.01,0.7,0.7,0.5,5.0,0.6759259259259259,0.032049075997928264,-0.12273180285320079,0.6743234721260295
50,2,0.01,0.7,0.7,0.5,2.0,0.6759259259259259,0.032045351756989075,-0.12273756007539866,0.6743236583380765
50,2,0.01,0.7,0.6,0.5,2.0,0.6759259259259259,0.032051127973729276,-0.12314472696557194,0.6743233695272395
100,2,0.03,0.7,0.6,0.5,10.0,0.6759259259259259,0.03211551018711367,-0.12321626242338775,0.6743201504165702
50,2,0.01,0.7,0.6,0.5,10.0,0.6759259259259259,0.03204836940825647,-0.12339370940005676,0.6743235074555131
50,2,0.01,0.7,0.6,0.5,5.0,0.6759259259259259,0.03205635146836432,-0.12346892265803439,0.6743231083525077
50,2,0.03,0.7,0.7,0.5,5.0,0.6759259259259259,0.03208259447219148,-0.12375119605659195,0.6743217962023164
50,2,0.03,0.7,0.6,0.5,5.0,0.6759259259259259,0.03209577550784951,-0.12376402166792097,0.6743211371505334
100,3,0.01,0.7,0.6,0.5,10.0,0.6759259259259259,0.03207798245141005,-0.12387848374227198,0.6743220268033554
100,2,0.03,0.7,0.6,0.5,5.0,0.6759259259259259,0.03213914480734881,-0.12399448967085244,0.6743189686855585
100,2,0.01,0.6,0.7,0.5,10.0,0.6759259259259259,0.032066209040804,-0.12421378252824117,0.6743226154738857
100,3,0.01,0.7,0.6,0.5,5.0,0.6759259259259259,0.032096645802721376,-0.12463684934554725,0.6743210936357898
100,3,0.03,0.7,0.6,1.0,2.0,0.6759259259259259,0.03204745614140174,-0.12478957837856092,0.6743235531188558
100,3,0.03,0.7,0.7,1.0,2.0,0.6759259259259259,0.03204745614140174,-0.12478957837856092,0.6743235531188558
100,3,0.01,0.6,0.6,0.5,10.0,0.6759259259259259,0.03207896099777088,-0.12480976470007873,0.6743219778760374
100,3,0.03,0.7,0.6,1.0,5.0,0.6759259259259259,0.032047647511979575,-0.12481191668475705,0.674323543550327
100,3,0.03,0.7,0.7,1.0,5.0,0.6759259259259259,0.032047647511979575,-0.12481191668475705,0.674323543550327
100,2,0.01,0.6,0.6,0.5,10.0,0.6759259259259259,0.032071391988363486,-0.12483371274904115,0.6743223563265077
100,3,0.03,0.7,0.6,1.0,10.0,0.6759259259259259,0.03204793282272072,-0.12484536971854765,0.6743235292847899
100,3,0.03,0.7,0.7,1.0,10.0,0.6759259259259259,0.03204793282272072,-0.12484536971854765,0.6743235292847899
50,2,0.03,0.6,0.6,0.5,10.0,0.6759259259259259,0.03208806900362096,-0.1248768473967853,0.6743215224757448
100,2,0.03,0.7,0.7,0.5,10.0,0.6759259259259259,0.032128301238885694,-0.12488904590676622,0.6743195108639817
100,2,0.03,0.7,0.6,1.0,2.0,0.6759259259259259,0.03204851500308251,-0.12493777037719583,0.6743235001757718
100,2,0.03,0.7,0.7,1.0,2.0,0.6759259259259259,0.03204851500308251,-0.12493777037719583,0.6743235001757718
100,2,0.03,0.7,0.6,1.0,5.0,0.6759259259259259,0.032048653057376496,-0.12495323063169367,0.6743234932730571
100,2,0.03,0.7,0.7,1.0,5.0,0.6759259259259259,0.032048653057376496,-0.12495323063169367,0.6743234932730571
100,2,0.03,0.7,0.6,1.0,10.0,0.6759259259259259,0.03204886017543615,-0.12497651685630921,0.6743234829171542
100,2,0.03,0.7,0.7,1.0,10.0,0.6759259259259259,0.03204886017543615,-0.12497651685630921,0.6743234829171542
50,3,0.03,0.7,0.6,1.0,2.0,0.6759259259259259,0.03204969044091324,-0.12506687864197633,0.6743234414038802
50,3,0.03,0.7,0.7,1.0,2.0,0.6759259259259259,0.03204969044091324,-0.12506687864197633,0.6743234414038802
50,3,0.03,0.7,0.6,1.0,5.0,0.6759259259259259,0.03204980271644357,-0.12507929685698957,0.6743234357901038
50,3,0.03,0.7,0.7,1.0,5.0,0.6759259259259259,0.03204980271644357,-0.12507929685698957,0.6743234357901038
50,3,0.03,0.7,0.6,1.0,10.0,0.6759259259259259,0.03204996794962051,-0.12509770687672858,0.6743234275284449
50,3,0.03,0.7,0.7,1.0,10.0,0.6759259259259259,0.03204996794962051,-0.12509770687672858,0.6743234275284449
50,2,0.03,0.7,0.6,1.0,2.0,0.6759259259259259,0.03205025246279883,-0.12513266018485658,0.674323413302786
50,2,0.03,0.7,0.7,1.0,2.0,0.6759259259259259,0.03205025246279883,-0.12513266018485658,0.674323413302786
50,2,0.03,0.7,0.6,1.0,5.0,0.6759259259259259,0.0320503321253255,-0.12514154066877803,0.6743234093196596
50,2,0.03,0.7,0.7,1.0,5.0,0.6759259259259259,0.0320503321253255,-0.12514154066877803,0.6743234093196596
50,2,0.03,0.7,0.6,1.0,10.0,0.6759259259259259,0.03205045016501354,-0.12515479395045206,0.6743234034176753
